gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibroblasts	Epithelial	Pericytes	Neural	Myofibroblast_Mesothelium	Endothelial	Muscle	Immune
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS001865B32	0.048	0.366	0.035	0.024	0.04	0.349	0.044	0.099
CX3CL1	P78423	False	X3CL1_HUMAN		CPI-SS0388C9C86	0.01	0.073	0.013	0.005	0.027	0.03	0.015	0.006
CCL20	P78556	False	CCL20_HUMAN		CPI-SS0079E2156	0.06	0.319	0.045	0.069	0.057	0.058	0.05	0.183
GUCA2A	Q02747	False	GUC2A_HUMAN		CPI-SS08BF22309	0.169	0.578	0.15	0.112	0.101	0.146	0.129	0.171
GUCA2B	Q16661	False	GUC2B_HUMAN		CPI-SS01B7CB0E7	0.081	0.114	0.067	0.03	0.043	0.065	0.106	0.031
IL16	Q14005	False	IL16_HUMAN		CPI-SS0BE275E5E	0.001	0.001	0.0	0.005	0.0	0.053	0.0	0.105
ENHO	Q6UWT2	False	ENHO_HUMAN		CPI-SS0B281803E	0.034	0.018	0.015	0.034	0.288	0.026	0.023	0.025
EDA	Q92838	False	EDA_HUMAN		CPI-SS05A8552D7	0.029	0.174	0.025	0.029	0.031	0.003	0.026	0.048
NRTN	Q99748	False	NRTN_HUMAN		CPI-SS01FAD473B	0.006	0.005	0.007	0.008	0.028	0.005	0.158	0.015
RARRES2	Q99969	False	RARR2_HUMAN		CPI-SS0CDEE4A57	0.746	0.471	0.62	0.351	0.898	0.222	0.353	0.225
GDF15	Q99988	False	GDF15_HUMAN		CPI-SS012A0AEC9	0.064	0.757	0.049	0.091	0.07	0.11	0.053	0.031
IL17B	Q9UHF5	False	IL17B_HUMAN		CPI-SS030D85815	0.015	0.006	0.154	0.012	0.012	0.006	0.067	0.009
FZD9	O00144	True	FZD9_HUMAN	O00144_O75197	CPI-SC0C06CDBBD	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
FZD9	O00144	True	FZD9_HUMAN	O00144_O75197	CPI-SC0B53118EB	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
FZD9	O00144	True	FZD9_HUMAN	O00144_O75197	CPI-SC0A973833C	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
FZD9	O00144	True	FZD9_HUMAN	O00144_O75197	CPI-SC04A17E55A	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	O00144_O75197	CPI-SC0C06CDBBD	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	O00144_O75197	CPI-SC0B53118EB	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	O00144_O75197	CPI-SC0A973833C	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	O00144_O75197	CPI-SC04A17E55A	0.001	0.002	0.003	0.004	0.0	0.006	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	O60353_O75197	CPI-SC0E8D0FEA9	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
LRP5	O75197	True	LRP5_HUMAN	O60353_O75197	CPI-SC08E88D327	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
LRP5	O75197	True	LRP5_HUMAN	O60353_O75197	CPI-SC02F58CC8C	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
LRP5	O75197	True	LRP5_HUMAN	O60353_O75197	CPI-SC0E2A7F68D	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
LRP5	O75197	True	LRP5_HUMAN	O75084_O75197	CPI-SC07D95D8F1	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
LRP5	O75197	True	LRP5_HUMAN	O75084_O75197	CPI-SC0CFEC9AB1	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
LRP5	O75197	True	LRP5_HUMAN	O75084_O75197	CPI-SC01ECB5380	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
LRP5	O75197	True	LRP5_HUMAN	O75084_O75197	CPI-SC07A2652A3	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
LRP5	O75197	True	LRP5_HUMAN	Q13467_O75197	CPI-SC0238858D3	0.023	0.175	0.049	0.055	0.011	0.055	0.019	0.023
LRP5	O75197	True	LRP5_HUMAN	Q13467_O75197	CPI-SC0BBCC77A4	0.023	0.175	0.049	0.055	0.011	0.055	0.019	0.023
LRP5	O75197	True	LRP5_HUMAN	Q13467_O75197	CPI-SC034ACA96A	0.023	0.175	0.049	0.055	0.011	0.055	0.019	0.023
LRP5	O75197	True	LRP5_HUMAN	Q13467_O75197	CPI-SC04224B098	0.023	0.175	0.049	0.055	0.011	0.055	0.019	0.023
LRP5	O75197	True	LRP5_HUMAN	Q14332_O75197	CPI-SC0916BE5A5	0.103	0.018	0.077	0.054	0.122	0.032	0.153	0.027
LRP5	O75197	True	LRP5_HUMAN	Q14332_O75197	CPI-SC0F5F1246D	0.103	0.018	0.077	0.054	0.122	0.032	0.153	0.027
LRP5	O75197	True	LRP5_HUMAN	Q14332_O75197	CPI-SC0C6349617	0.103	0.018	0.077	0.054	0.122	0.032	0.153	0.027
LRP5	O75197	True	LRP5_HUMAN	Q14332_O75197	CPI-SC0E813ADB8	0.103	0.018	0.077	0.054	0.122	0.032	0.153	0.027
LRP5	O75197	True	LRP5_HUMAN	Q9H461_O75197	CPI-SC06E9CD488	0.076	0.025	0.048	0.062	0.122	0.074	0.0	0.006
LRP5	O75197	True	LRP5_HUMAN	Q9H461_O75197	CPI-SC0281AB653	0.076	0.025	0.048	0.062	0.122	0.074	0.0	0.006
LRP5	O75197	True	LRP5_HUMAN	Q9H461_O75197	CPI-SC0E2E03198	0.076	0.025	0.048	0.062	0.122	0.074	0.0	0.006
LRP5	O75197	True	LRP5_HUMAN	Q9H461_O75197	CPI-SC0D9F9EAC4	0.076	0.025	0.048	0.062	0.122	0.074	0.0	0.006
LRP5	O75197	True	LRP5_HUMAN	Q9NPG1_O75197	CPI-SC0456F779D	0.037	0.026	0.03	0.062	0.066	0.026	0.053	0.012
LRP5	O75197	True	LRP5_HUMAN	Q9NPG1_O75197	CPI-SC0A0D98C8D	0.037	0.026	0.03	0.062	0.066	0.026	0.053	0.012
LRP5	O75197	True	LRP5_HUMAN	Q9NPG1_O75197	CPI-SC0F9D57E34	0.037	0.026	0.03	0.062	0.066	0.026	0.053	0.012
LRP5	O75197	True	LRP5_HUMAN	Q9NPG1_O75197	CPI-SC095353D95	0.037	0.026	0.03	0.062	0.066	0.026	0.053	0.012
LRP5	O75197	True	LRP5_HUMAN	Q9ULV1_O75197	CPI-SC0761E791E	0.052	0.01	0.073	0.01	0.028	0.135	0.07	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULV1_O75197	CPI-SC09E254C91	0.052	0.01	0.073	0.01	0.028	0.135	0.07	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULV1_O75197	CPI-SC0D3E2A22C	0.052	0.01	0.073	0.01	0.028	0.135	0.07	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULV1_O75197	CPI-SC07AB5E202	0.052	0.01	0.073	0.01	0.028	0.135	0.07	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULW2_O75197	CPI-SC02C203FD7	0.013	0.002	0.033	0.0	0.027	0.001	0.004	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULW2_O75197	CPI-SC000D56BAC	0.013	0.002	0.033	0.0	0.027	0.001	0.004	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULW2_O75197	CPI-SC065ECDD42	0.013	0.002	0.033	0.0	0.027	0.001	0.004	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9ULW2_O75197	CPI-SC0CA5B26F5	0.013	0.002	0.033	0.0	0.027	0.001	0.004	0.0
LRP5	O75197	True	LRP5_HUMAN	Q9UP38_O75197	CPI-SC03A513E23	0.103	0.049	0.106	0.062	0.122	0.065	0.126	0.027
LRP5	O75197	True	LRP5_HUMAN	Q9UP38_O75197	CPI-SC0968CCEC2	0.103	0.049	0.106	0.062	0.122	0.065	0.126	0.027
LRP5	O75197	True	LRP5_HUMAN	Q9UP38_O75197	CPI-SC02D618124	0.103	0.049	0.106	0.062	0.122	0.065	0.126	0.027
LRP5	O75197	True	LRP5_HUMAN	Q9UP38_O75197	CPI-SC0F5ED1270	0.103	0.049	0.106	0.062	0.122	0.065	0.126	0.027
NRP1	O14786	True	NRP1_HUMAN	O14786_O75051	CPI-SC00A136C08	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
NRP1	O14786	True	NRP1_HUMAN	O14786_O75051	CPI-SC06F4B01FB	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
NRP1	O14786	True	NRP1_HUMAN	O14786_O75051	CPI-SC0783F1AA2	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
NRP1	O14786	True	NRP1_HUMAN	O14786_O75051	CPI-SC025D74F89	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
NRP1	O14786	True	NRP1_HUMAN	O14786_P51805	CPI-SC0159FB8D9	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
NRP1	O14786	True	NRP1_HUMAN	O14786_P51805	CPI-SC03AC818E8	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
NRP1	O14786	True	NRP1_HUMAN	O14786_P51805	CPI-SC0CC3F53A3	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
NRP1	O14786	True	NRP1_HUMAN	O14786_P51805	CPI-SC08974B687	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9HCM2	CPI-SC0F3A046EC	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9HCM2	CPI-SC0D1B17933	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9HCM2	CPI-SC0385E2BD3	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9HCM2	CPI-SC065B116BF	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9UIW2	CPI-SC07D002857	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9UIW2	CPI-SC02EEDD7D1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9UIW2	CPI-SC02B31C3F1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
NRP1	O14786	True	NRP1_HUMAN	O14786_Q9UIW2	CPI-SC011FFAFCC	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC00A136C08	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC00A136C08	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC06F4B01FB	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC06F4B01FB	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC0783F1AA2	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC0783F1AA2	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC025D74F89	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O14786_O75051	CPI-SC025D74F89	0.044	0.031	0.086	0.085	0.098	0.269	0.078	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC0B03C32CA	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC0B03C32CA	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC092404D13	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC092404D13	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC010BDC6FF	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC010BDC6FF	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC095832FFD	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC095832FFD	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC0F9FC677F	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXNA2	O75051	True	PLXA2_HUMAN	O60462_O75051	CPI-SC0F9FC677F	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
PLXA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC0159FB8D9	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXNA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC0159FB8D9	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC03AC818E8	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXNA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC03AC818E8	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC0CC3F53A3	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXNA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC0CC3F53A3	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC08974B687	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXNA3	P51805	True	PLXA3_HUMAN	O14786_P51805	CPI-SC08974B687	0.087	0.031	0.129	0.156	0.094	0.102	0.078	0.084
PLXA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0109F58EB	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXNA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0109F58EB	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0EDA68DEF	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXNA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0EDA68DEF	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0CDC67E88	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXNA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC0CDC67E88	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC07644E062	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXNA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC07644E062	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC08C686F26	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXNA3	P51805	True	PLXA3_HUMAN	O60462_P51805	CPI-SC08C686F26	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0F3A046EC	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0F3A046EC	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0D1B17933	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0D1B17933	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0385E2BD3	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC0385E2BD3	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC065B116BF	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O14786_Q9HCM2	CPI-SC065B116BF	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0269BB87D	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0269BB87D	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC03F6A3F5A	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC03F6A3F5A	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0DD6C4EB8	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0DD6C4EB8	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0793C1FB2	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC0793C1FB2	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC095A80741	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	O60462_Q9HCM2	CPI-SC095A80741	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC07D002857	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC07D002857	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC02EEDD7D1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC02EEDD7D1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC02B31C3F1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC02B31C3F1	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC011FFAFCC	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O14786_Q9UIW2	CPI-SC011FFAFCC	0.085	0.031	0.089	0.084	0.085	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC076BD8E87	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC076BD8E87	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC06D29FEEF	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC06D29FEEF	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC071A674D3	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC071A674D3	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC09A1EC2FA	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC09A1EC2FA	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC0FEC3BA72	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	O60462_Q9UIW2	CPI-SC0FEC3BA72	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
FZD6	O60353	True	FZD6_HUMAN	O60353_O75197	CPI-SC0E8D0FEA9	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
FZD6	O60353	True	FZD6_HUMAN	O60353_O75197	CPI-SC08E88D327	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
FZD6	O60353	True	FZD6_HUMAN	O60353_O75197	CPI-SC02F58CC8C	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
FZD6	O60353	True	FZD6_HUMAN	O60353_O75197	CPI-SC0E2A7F68D	0.006	0.016	0.0	0.003	0.004	0.135	0.021	0.0
NRP2	O60462	True	NRP2_HUMAN	O60462_O75051	CPI-SC0B03C32CA	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
NRP2	O60462	True	NRP2_HUMAN	O60462_O75051	CPI-SC092404D13	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
NRP2	O60462	True	NRP2_HUMAN	O60462_O75051	CPI-SC010BDC6FF	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
NRP2	O60462	True	NRP2_HUMAN	O60462_O75051	CPI-SC095832FFD	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
NRP2	O60462	True	NRP2_HUMAN	O60462_O75051	CPI-SC0F9FC677F	0.044	0.024	0.086	0.085	0.053	0.269	0.118	0.021
NRP2	O60462	True	NRP2_HUMAN	O60462_P51805	CPI-SC0109F58EB	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
NRP2	O60462	True	NRP2_HUMAN	O60462_P51805	CPI-SC0EDA68DEF	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
NRP2	O60462	True	NRP2_HUMAN	O60462_P51805	CPI-SC0CDC67E88	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
NRP2	O60462	True	NRP2_HUMAN	O60462_P51805	CPI-SC07644E062	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
NRP2	O60462	True	NRP2_HUMAN	O60462_P51805	CPI-SC08C686F26	0.087	0.024	0.104	0.152	0.053	0.102	0.096	0.143
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9HCM2	CPI-SC0269BB87D	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9HCM2	CPI-SC03F6A3F5A	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9HCM2	CPI-SC0DD6C4EB8	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9HCM2	CPI-SC0793C1FB2	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9HCM2	CPI-SC095A80741	0.007	0.004	0.0	0.064	0.049	0.007	0.009	0.016
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9UIW2	CPI-SC076BD8E87	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9UIW2	CPI-SC06D29FEEF	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9UIW2	CPI-SC071A674D3	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9UIW2	CPI-SC09A1EC2FA	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
NRP2	O60462	True	NRP2_HUMAN	O60462_Q9UIW2	CPI-SC0FEC3BA72	0.085	0.024	0.089	0.084	0.053	0.048	0.05	0.017
FZD7	O75084	True	FZD7_HUMAN	O75084_O75197	CPI-SC07D95D8F1	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
FZD7	O75084	True	FZD7_HUMAN	O75084_O75197	CPI-SC0CFEC9AB1	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
FZD7	O75084	True	FZD7_HUMAN	O75084_O75197	CPI-SC01ECB5380	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
FZD7	O75084	True	FZD7_HUMAN	O75084_O75197	CPI-SC07A2652A3	0.103	0.064	0.106	0.062	0.122	0.029	0.153	0.015
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC0635885D0	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC0012A9818	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC017C5955C	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC071625F4B	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC0F8F6FB88	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
